marker,condition,group,tasks,passed,pass_rate,interpretation
out_of_schema_attempt,baseline,present,217,51,23.50,descriptive_association_not_causal
out_of_schema_attempt,baseline,absent,200,123,61.50,descriptive_association_not_causal
out_of_schema_attempt,safedesk,present,38,12,31.58,descriptive_association_not_causal
out_of_schema_attempt,safedesk,absent,379,244,64.38,descriptive_association_not_causal
duplicate_call,baseline,present,179,28,15.64,descriptive_association_not_causal
duplicate_call,baseline,absent,238,146,61.34,descriptive_association_not_causal
duplicate_call,safedesk,present,65,18,27.69,descriptive_association_not_causal
duplicate_call,safedesk,absent,352,238,67.61,descriptive_association_not_causal
duplicate_write,baseline,present,40,5,12.50,descriptive_association_not_causal
duplicate_write,baseline,absent,377,169,44.83,descriptive_association_not_causal
duplicate_write,safedesk,present,16,5,31.25,descriptive_association_not_causal
duplicate_write,safedesk,absent,401,251,62.59,descriptive_association_not_causal
max_turn,baseline,present,91,1,1.10,descriptive_association_not_causal
max_turn,baseline,absent,326,173,53.07,descriptive_association_not_causal
max_turn,safedesk,present,42,3,7.14,descriptive_association_not_causal
max_turn,safedesk,absent,375,253,67.47,descriptive_association_not_causal
