task_id,experiment_id,difficulty,passed,num_turns,num_tool_calls,invalid_calls,duplicate_calls,duplicate_writes,total_tokens,max_turn
task_0001,safedesk_appworld_test_challenge,1,1,22,14,0,0,0,113449,0
task_0002,safedesk_appworld_test_challenge,3,1,22,21,0,0,0,24034,0
task_0003,safedesk_appworld_test_challenge,2,1,11,19,0,0,0,189765,0
task_0004,safedesk_appworld_test_challenge,2,1,19,23,0,0,0,55569,0
task_0005,safedesk_appworld_test_challenge,3,1,5,28,0,0,0,104478,0
task_0006,safedesk_appworld_test_challenge,1,1,9,34,0,0,0,183400,0
task_0007,safedesk_appworld_test_challenge,1,1,12,22,0,0,0,142051,0
task_0008,safedesk_appworld_test_challenge,1,1,14,12,0,0,0,52762,0
task_0009,safedesk_appworld_test_challenge,2,1,14,17,0,0,0,130673,0
task_0010,safedesk_appworld_test_challenge,3,1,9,6,0,0,0,198139,0
task_0011,safedesk_appworld_test_challenge,1,1,19,20,0,0,0,116188,0
task_0012,safedesk_appworld_test_challenge,1,1,12,11,0,0,0,139493,0
task_0013,safedesk_appworld_test_challenge,3,1,19,6,0,0,0,176256,0
task_0014,safedesk_appworld_test_challenge,3,1,25,33,0,0,0,40096,0
task_0015,safedesk_appworld_test_challenge,3,1,5,7,0,0,0,78680,0
task_0016,safedesk_appworld_test_challenge,1,1,14,14,0,0,0,69134,0
task_0017,safedesk_appworld_test_challenge,3,1,11,5,0,1,0,195112,0
task_0018,safedesk_appworld_test_challenge,3,1,20,5,0,0,0,44170,0
task_0019,safedesk_appworld_test_challenge,2,1,19,9,0,0,0,62144,0
task_0020,safedesk_appworld_test_challenge,2,1,4,18,0,0,0,130951,0
task_0021,safedesk_appworld_test_challenge,1,1,21,27,0,0,0,139848,0
task_0022,safedesk_appworld_test_challenge,1,1,15,25,0,0,0,155402,0
task_0023,safedesk_appworld_test_challenge,3,1,21,26,0,0,0,80895,0
task_0024,safedesk_appworld_test_challenge,3,1,26,28,0,0,0,39741,0
task_0025,safedesk_appworld_test_challenge,2,1,12,29,0,1,0,67717,0
task_0026,safedesk_appworld_test_challenge,1,1,5,33,0,0,0,142849,0
task_0027,safedesk_appworld_test_challenge,1,1,3,18,0,0,0,25523,0
task_0028,safedesk_appworld_test_challenge,3,1,16,29,1,0,0,177431,0
task_0029,safedesk_appworld_test_challenge,3,1,24,27,0,0,0,21764,0
task_0030,safedesk_appworld_test_challenge,3,1,9,14,0,0,0,76538,0
