display_name,field,definition,unit,reporting_role
TGC,task_goal_completion,successful tasks / all valid tasks,task,primary
SGC,scenario_goal_completion,scenarios whose three variants all pass,scenario,primary
False-completion rate,false_completion_candidate_rate,tasks that invoked completion but failed,task,primary reliability
Max-Turn Rate,max_turn_rate,tasks reaching configured turn cap,task,primary reliability
Invalid Call Rate,invalid_call_rate,invalid proposed calls / all model-proposed calls,call,primary reliability
Duplicate Write Rate,duplicate_write_action_rate,duplicate writes / executed writes,write call,primary safety
Average tokens,avg_tokens_per_task,total reported tokens / valid tasks,task,primary efficiency
pass@1,pass1_rate,single-run success rate,task,tau2 primary
pass@4,pass4_rate,"4 independent runs, all must pass",task,tau2 primary
Macro-avg pass@1,macro_avg_pass1,simple average of per-domain pass@1 rates,domain,tau2 primary
Macro-avg pass@4,macro_avg_pass4,simple average of per-domain pass@4 rates,domain,tau2 primary
DB match rate,db_match_rate,tasks matching evaluator DB state / all tasks,task,tau2 diagnostic
