task_id,experiment_id,domain,passed,num_turns,num_tool_calls,total_tokens,db_match
tau2_airline_0001,safedesk_tau2_full,airline,1,12,7,100276,1
tau2_airline_0002,safedesk_tau2_full,airline,1,5,10,17199,1
tau2_airline_0003,safedesk_tau2_full,airline,1,16,3,30749,1
tau2_airline_0004,safedesk_tau2_full,airline,1,15,11,77008,1
tau2_airline_0005,safedesk_tau2_full,airline,1,3,2,66220,1
tau2_airline_0006,safedesk_tau2_full,airline,1,11,9,94882,1
tau2_airline_0007,safedesk_tau2_full,airline,1,14,12,56286,1
tau2_airline_0008,safedesk_tau2_full,airline,1,8,14,42788,1
tau2_airline_0009,safedesk_tau2_full,airline,1,12,5,77848,1
tau2_airline_0010,safedesk_tau2_full,airline,1,7,13,78267,1
tau2_airline_0011,safedesk_tau2_full,airline,1,14,13,20274,1
tau2_airline_0012,safedesk_tau2_full,airline,1,13,4,53635,1
tau2_airline_0013,safedesk_tau2_full,airline,1,12,2,57027,1
tau2_airline_0014,safedesk_tau2_full,airline,1,7,13,46341,1
tau2_airline_0015,safedesk_tau2_full,airline,1,9,11,42580,1
tau2_airline_0016,safedesk_tau2_full,airline,1,5,4,71415,1
tau2_airline_0017,safedesk_tau2_full,airline,1,12,10,71025,1
tau2_airline_0018,safedesk_tau2_full,airline,1,5,13,19752,1
tau2_airline_0019,safedesk_tau2_full,airline,1,18,9,88977,1
tau2_airline_0020,safedesk_tau2_full,airline,1,12,13,16686,1
tau2_airline_0021,safedesk_tau2_full,airline,1,15,7,41227,1
tau2_airline_0022,safedesk_tau2_full,airline,1,6,3,20373,1
tau2_airline_0023,safedesk_tau2_full,airline,1,13,4,84394,1
tau2_airline_0024,safedesk_tau2_full,airline,1,14,8,65336,1
tau2_airline_0025,safedesk_tau2_full,airline,1,17,14,98322,1
tau2_airline_0026,safedesk_tau2_full,airline,1,17,13,49444,1
tau2_airline_0027,safedesk_tau2_full,airline,1,12,5,16017,1
tau2_airline_0028,safedesk_tau2_full,airline,1,8,12,26383,1
tau2_airline_0029,safedesk_tau2_full,airline,1,18,7,47024,1
tau2_airline_0030,safedesk_tau2_full,airline,1,8,13,50067,1
tau2_airline_0031,safedesk_tau2_full,airline,1,8,2,19088,1
tau2_airline_0032,safedesk_tau2_full,airline,1,12,5,69746,1
tau2_airline_0033,safedesk_tau2_full,airline,1,7,4,92257,1
tau2_airline_0034,safedesk_tau2_full,airline,1,4,12,78879,1
tau2_airline_0035,safedesk_tau2_full,airline,1,4,11,90154,1
tau2_airline_0036,safedesk_tau2_full,airline,1,14,8,80947,1
tau2_airline_0037,safedesk_tau2_full,airline,1,5,7,67710,1
tau2_airline_0038,safedesk_tau2_full,airline,0,35,6,97981,1
tau2_airline_0039,safedesk_tau2_full,airline,0,20,16,198057,1
tau2_airline_0040,safedesk_tau2_full,airline,0,11,21,503381,0
tau2_airline_0041,safedesk_tau2_full,airline,0,17,7,116606,0
tau2_airline_0042,safedesk_tau2_full,airline,0,7,25,229359,0
tau2_airline_0043,safedesk_tau2_full,airline,0,34,13,122655,0
tau2_airline_0044,safedesk_tau2_full,airline,0,7,6,327763,0
tau2_airline_0045,safedesk_tau2_full,airline,0,32,20,179212,1
tau2_airline_0046,safedesk_tau2_full,airline,0,22,20,296696,1
tau2_airline_0047,safedesk_tau2_full,airline,0,14,5,485246,0
tau2_airline_0048,safedesk_tau2_full,airline,0,34,13,552938,0
tau2_airline_0049,safedesk_tau2_full,airline,0,35,11,361561,0
tau2_airline_0050,safedesk_tau2_full,airline,0,33,27,31873,0
tau2_retail_0001,safedesk_tau2_full,retail,1,7,11,96231,1
tau2_retail_0002,safedesk_tau2_full,retail,1,10,10,59952,1
tau2_retail_0003,safedesk_tau2_full,retail,1,15,6,119128,1
