task_id,difficulty,success,passed_tests,total_tests,turns,model_proposed_calls,executed_calls,read_calls,write_calls,invalid_calls,out_of_schema_calls,duplicate_calls,duplicate_write_actions,completion_step,state_persisted_before_evaluation,predictor_tokens,agent_tokens,total_tokens,duration_seconds,infra_error_type
07bb666_1,1,True,6,6,6,18,18,17,1,0,0,0,0,6,True,7628,42051,49679,16.9521,
07bb666_2,1,False,2,6,8,20,20,13,7,0,0,0,0,8,True,7627,68210,75837,20.9782,
07bb666_3,1,False,2,6,6,13,13,12,1,0,0,0,0,6,True,7621,35433,43054,14.0156,
099174d_1,2,True,7,7,12,18,18,13,5,0,0,0,0,12,True,7653,119377,127030,28.535,
099174d_2,2,True,7,7,11,22,22,15,7,0,0,0,0,11,True,7653,112536,120189,27.9454,
099174d_3,2,True,7,7,13,32,32,24,8,7,0,0,0,13,True,7659,156489,164148,37.8695,
09ac073_1,2,True,6,6,6,22,22,21,1,0,0,0,0,6,True,7674,73993,81667,36.4707,
09ac073_2,2,True,6,6,7,37,37,9,28,0,0,0,0,7,True,7632,93441,101073,52.1284,
09ac073_3,2,True,6,6,8,23,23,11,12,0,0,0,0,8,True,7631,148953,156584,50.1114,
0d22252_1,1,False,5,8,8,11,10,7,3,1,1,0,0,8,True,7633,48353,55986,23.8241,
0d22252_2,1,False,2,8,50,58,57,52,5,1,1,1,0,,True,7619,602190,609809,107.1307,
0d22252_3,1,False,2,8,50,53,49,48,1,4,4,1,0,,True,7620,534583,542203,106.5821,
0de03ad_1,2,False,5,7,27,62,61,60,1,1,1,2,0,27,True,7648,1174163,1181811,98.0107,
0de03ad_2,2,False,6,7,23,53,52,51,1,1,1,0,0,23,True,7648,882122,889770,88.2013,
0de03ad_3,2,False,6,7,19,36,36,35,1,0,0,5,0,19,True,7651,698182,705833,58.2607,
143527e_1,3,False,6,7,8,13,13,11,2,0,0,0,0,8,True,7680,69624,77304,19.2626,
143527e_2,3,False,6,7,8,13,13,11,2,0,0,0,0,8,True,7677,70730,78407,20.9192,
143527e_3,3,True,7,7,11,17,17,16,1,0,0,0,0,11,True,7690,104710,112400,25.2216,
16be9ce_1,1,True,2,2,7,10,9,8,1,1,1,0,0,7,True,7639,55013,62652,14.6579,
16be9ce_2,1,True,2,2,18,19,15,14,1,4,4,1,0,18,True,7624,201660,209284,47.437,
16be9ce_3,1,True,2,2,8,10,7,6,1,3,3,0,0,8,True,7625,52366,59991,23.359,
18670a5_1,3,True,10,10,9,14,12,8,4,2,2,0,0,9,True,7700,90848,98548,26.4851,
18670a5_2,3,False,2,10,8,37,29,16,13,8,8,0,0,8,True,7694,73086,80780,36.0448,
18670a5_3,3,True,10,10,8,28,20,14,6,8,8,0,0,8,True,7711,78600,86311,30.7179,
1a79e37_1,2,False,6,9,22,26,22,20,2,4,4,1,0,22,True,7648,345679,353327,58.0421,
1a79e37_2,2,False,1,9,50,19,14,14,0,5,5,1,0,,True,7648,5934943,5942591,1621.1762,
1a79e37_3,2,False,1,9,50,57,51,35,16,6,6,16,0,,True,7648,1165856,1173504,107.2335,
1b2bae9_1,3,False,10,12,10,15,14,11,3,1,1,0,0,10,True,7712,91902,99614,27.297,
1b2bae9_2,3,False,10,12,13,17,16,12,4,1,1,0,0,13,True,7723,126656,134379,32.2061,
1b2bae9_3,3,False,10,12,12,16,15,11,4,1,1,0,0,12,True,7712,123657,131369,33.9153,
1b988ac_1,3,True,10,10,10,16,16,13,3,0,0,0,0,10,True,7736,102931,110667,37.2973,
1b988ac_2,3,True,10,10,10,18,18,15,3,0,0,0,0,10,True,7736,140497,148233,34.9343,
1b988ac_3,3,True,10,10,9,18,18,15,3,0,0,0,0,9,True,7735,99273,107008,36.4202,
1c4bd27_1,2,True,4,4,6,10,10,9,1,0,0,0,0,6,True,7622,56374,63996,14.9574,
1c4bd27_2,2,True,4,4,6,12,12,11,1,0,0,0,0,6,True,7622,57874,65496,18.8928,
