domain,task_id,trial_id,passed,db_match,termination_reason,duration_seconds,turns,tool_calls,invalid_calls,duplicate_calls,duplicate_write_actions,recovery_attempts,recovery_success,total_tokens,failure_type,partial_completion,premature_finish,unintended_side_effects
airline,0,0,True,True,user_stop,46.1054,12,3,0,0,0,0,,38971,none,False,False,0
airline,1,0,True,True,user_stop,32.8762,10,6,0,0,0,0,,33505,none,False,False,0
airline,2,0,True,True,user_stop,47.523,14,6,0,0,0,0,,54987,none,False,False,0
airline,3,0,True,True,user_stop,23.5595,9,2,0,0,0,0,,24891,none,False,False,0
airline,4,0,True,True,user_stop,47.5749,14,9,0,0,0,0,,57146,none,False,False,0
airline,5,0,True,True,user_stop,61.5404,15,6,0,0,0,0,,58087,none,False,False,0
airline,6,0,True,True,user_stop,65.9579,16,2,0,0,0,0,,53618,none,False,False,0
airline,7,0,False,True,user_stop,52.8854,15,12,0,0,0,0,,72574,communicate_failed,,,
airline,8,0,True,True,user_stop,97.3356,16,8,0,0,0,0,,69490,none,False,False,0
airline,9,0,False,False,user_stop,48.9148,11,5,0,0,0,0,,42485,db_mismatch,,,
airline,10,0,True,True,user_stop,107.0898,23,11,0,0,0,0,,123333,none,False,False,0
airline,11,0,False,False,user_stop,55.5461,15,5,0,0,0,0,,58155,db_mismatch,,,
airline,12,0,True,True,user_stop,92.5459,20,5,0,0,0,0,,79499,none,False,False,0
airline,13,0,True,True,user_stop,36.5837,12,3,0,0,0,0,,39825,none,False,False,0
airline,14,0,False,False,user_stop,147.0143,23,10,0,0,0,0,,132428,db_mismatch,,,
airline,15,0,False,False,user_stop,81.5422,18,8,0,0,0,0,,87326,db_mismatch,,,
airline,16,0,False,False,user_stop,61.1447,14,6,0,0,0,0,,64770,db_mismatch,,,
airline,17,0,False,False,user_stop,52.4585,15,7,0,0,0,0,,59113,db_mismatch,,,
airline,18,0,False,False,user_stop,61.5924,11,12,0,0,0,0,,45048,db_mismatch,,,
airline,19,0,True,True,user_stop,37.3302,15,5,0,0,0,0,,52688,none,False,False,0
